Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/7/2004,Dallas Stars,1,Colorado Avalanche,3,,,,
4/7/2004,Montreal Canadiens,0,Boston Bruins,3,,,,
4/7/2004,Calgary Flames,3,Vancouver Canucks,5,,,,
4/7/2004,Nashville Predators,1,Detroit Red Wings,3,,,,
4/8/2004,New Jersey Devils,2,Philadelphia Flyers,3,,,,
4/8/2004,New York Islanders,0,Tampa Bay Lightning,3,,,,
4/8/2004,Ottawa Senators,4,Toronto Maple Leafs,2,,,,
4/8/2004,St. Louis Blues,0,San Jose Sharks,1,OT,,,
4/9/2004,Dallas Stars,2,Colorado Avalanche,5,,,,
4/9/2004,Calgary Flames,2,Vancouver Canucks,1,,,,
4/9/2004,Montreal Canadiens,1,Boston Bruins,2,OT,,,
4/10/2004,New York Islanders,3,Tampa Bay Lightning,0,,,,
4/10/2004,Ottawa Senators,0,Toronto Maple Leafs,2,,,,
4/10/2004,St. Louis Blues,1,San Jose Sharks,3,,,,
4/10/2004,New Jersey Devils,2,Philadelphia Flyers,3,,,,
4/10/2004,Nashville Predators,1,Detroit Red Wings,2,,,,
4/11/2004,Vancouver Canucks,2,Calgary Flames,1,,,,
4/11/2004,Boston Bruins,2,Montreal Canadiens,3,,,,
4/11/2004,Detroit Red Wings,1,Nashville Predators,3,,,,
4/12/2004,Philadelphia Flyers,2,New Jersey Devils,4,,,,
4/12/2004,Tampa Bay Lightning,3,New York Islanders,0,,,,
4/12/2004,Toronto Maple Leafs,2,Ottawa Senators,0,,,,
4/12/2004,San Jose Sharks,1,St. Louis Blues,4,,,,
4/12/2004,Colorado Avalanche,3,Dallas Stars,4,OT,,,
4/13/2004,Vancouver Canucks,0,Calgary Flames,4,,,,
4/13/2004,San Jose Sharks,4,St. Louis Blues,3,,,,
4/13/2004,Detroit Red Wings,0,Nashville Predators,3,,,,
4/13/2004,Boston Bruins,4,Montreal Canadiens,3,2OT,,,
4/14/2004,Philadelphia Flyers,3,New Jersey Devils,0,,,,
4/14/2004,Tampa Bay Lightning,3,New York Islanders,0,,,,
4/14/2004,Toronto Maple Leafs,1,Ottawa Senators,4,,,,
4/14/2004,Colorado Avalanche,3,Dallas Stars,2,2OT,,,
4/15/2004,Calgary Flames,2,Vancouver Canucks,1,,,,
4/15/2004,St. Louis Blues,1,San Jose Sharks,3,,,,
4/15/2004,Nashville Predators,1,Detroit Red Wings,4,,,,
4/15/2004,Montreal Canadiens,5,Boston Bruins,1,,,,
4/16/2004,Ottawa Senators,0,Toronto Maple Leafs,2,,,,
4/16/2004,New York Islanders,2,Tampa Bay Lightning,3,OT,,,
4/17/2004,Dallas Stars,1,Colorado Avalanche,5,,,,
4/17/2004,Boston Bruins,2,Montreal Canadiens,5,,,,
4/17/2004,Detroit Red Wings,2,Nashville Predators,0,,,,
4/17/2004,New Jersey Devils,1,Philadelphia Flyers,3,,,,
4/17/2004,Vancouver Canucks,5,Calgary Flames,4,3OT,,,
4/18/2004,Toronto Maple Leafs,1,Ottawa Senators,2,2OT,,,
4/19/2004,Montreal Canadiens,2,Boston Bruins,0,,,,
4/19/2004,Calgary Flames,3,Vancouver Canucks,2,OT,,,
4/20/2004,Ottawa Senators,1,Toronto Maple Leafs,4,,,,
4/22/2004,Toronto Maple Leafs,1,Philadelphia Flyers,3,,,,
4/22/2004,Colorado Avalanche,2,San Jose Sharks,5,,,,
4/22/2004,Calgary Flames,2,Detroit Red Wings,1,OT,,,
4/23/2004,Montreal Canadiens,0,Tampa Bay Lightning,4,,,,
4/24/2004,Calgary Flames,2,Detroit Red Wings,5,,,,
4/24/2004,Colorado Avalanche,1,San Jose Sharks,4,,,,
4/25/2004,Toronto Maple Leafs,1,Philadelphia Flyers,2,,,,
4/25/2004,Montreal Canadiens,1,Tampa Bay Lightning,3,,,,
4/26/2004,San Jose Sharks,1,Colorado Avalanche,0,,,,
4/27/2004,Detroit Red Wings,2,Calgary Flames,3,,,,
4/27/2004,Tampa Bay Lightning,4,Montreal Canadiens,3,OT,,,
4/28/2004,Philadelphia Flyers,1,Toronto Maple Leafs,4,,,,
4/28/2004,San Jose Sharks,0,Colorado Avalanche,1,OT,,,
4/29/2004,Detroit Red Wings,4,Calgary Flames,2,,,,
4/29/2004,Tampa Bay Lightning,3,Montreal Canadiens,1,,,,
4/30/2004,Philadelphia Flyers,1,Toronto Maple Leafs,3,,,,
5/1/2004,Calgary Flames,1,Detroit Red Wings,0,,,,
5/1/2004,Colorado Avalanche,2,San Jose Sharks,1,OT,,,
5/2/2004,Toronto Maple Leafs,2,Philadelphia Flyers,7,,,,
5/3/2004,Detroit Red Wings,0,Calgary Flames,1,OT,,,
