Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/14/2010,Detroit Red Wings,2,Phoenix Coyotes,3,,17125,,
4/14/2010,Ottawa Senators,5,Pittsburgh Penguins,4,,17132,,
4/14/2010,Colorado Avalanche,2,San Jose Sharks,1,,17562,,
4/14/2010,Philadelphia Flyers,2,New Jersey Devils,1,,17625,,
4/15/2010,Boston Bruins,1,Buffalo Sabres,2,,18690,,
4/15/2010,Los Angeles Kings,2,Vancouver Canucks,3,OT,18810,,
4/15/2010,Montreal Canadiens,3,Washington Capitals,2,OT,18377,,
4/16/2010,Nashville Predators,4,Chicago Blackhawks,1,,22256,,
4/16/2010,Philadelphia Flyers,3,New Jersey Devils,5,,17625,,
4/16/2010,Detroit Red Wings,7,Phoenix Coyotes,4,,17386,,
4/16/2010,Ottawa Senators,1,Pittsburgh Penguins,2,,17132,,
4/16/2010,Colorado Avalanche,5,San Jose Sharks,6,OT,17562,,
4/17/2010,Boston Bruins,5,Buffalo Sabres,3,,18690,,
4/17/2010,Los Angeles Kings,3,Vancouver Canucks,2,OT,18810,,
4/17/2010,Montreal Canadiens,5,Washington Capitals,6,OT,18377,,
4/18/2010,Nashville Predators,0,Chicago Blackhawks,2,,22158,,
4/18/2010,Phoenix Coyotes,4,Detroit Red Wings,2,,20066,,
4/18/2010,Pittsburgh Penguins,4,Ottawa Senators,2,,20119,,
4/18/2010,San Jose Sharks,0,Colorado Avalanche,1,OT,18007,,
4/18/2010,New Jersey Devils,2,Philadelphia Flyers,3,OT,19957,,
4/19/2010,Buffalo Sabres,1,Boston Bruins,2,,17565,,
4/19/2010,Vancouver Canucks,3,Los Angeles Kings,5,,18264,,
4/19/2010,Washington Capitals,5,Montreal Canadiens,1,,21273,,
4/20/2010,New Jersey Devils,1,Philadelphia Flyers,4,,19709,,
4/20/2010,Pittsburgh Penguins,7,Ottawa Senators,4,,20014,,
4/20/2010,Phoenix Coyotes,0,Detroit Red Wings,3,,20066,,
4/20/2010,Chicago Blackhawks,1,Nashville Predators,4,,16075,,
