Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/9/2003,Boston Bruins,1,New Jersey Devils,2,,,,
4/9/2003,New York Islanders,3,Ottawa Senators,0,,,,
4/9/2003,Toronto Maple Leafs,5,Philadelphia Flyers,3,,,,
4/9/2003,Edmonton Oilers,2,Dallas Stars,1,,,,
4/10/2003,Minnesota Wild,4,Colorado Avalanche,2,,,,
4/10/2003,Washington Capitals,3,Tampa Bay Lightning,0,,,,
4/10/2003,St. Louis Blues,6,Vancouver Canucks,0,,,,
4/10/2003,Mighty Ducks of Anaheim,2,Detroit Red Wings,1,3OT,,,
4/11/2003,Edmonton Oilers,1,Dallas Stars,6,,,,
4/11/2003,Boston Bruins,2,New Jersey Devils,4,,,,
4/11/2003,Toronto Maple Leafs,1,Philadelphia Flyers,4,,,,
4/12/2003,Mighty Ducks of Anaheim,3,Detroit Red Wings,2,,,,
4/12/2003,St. Louis Blues,1,Vancouver Canucks,2,,,,
4/12/2003,Washington Capitals,6,Tampa Bay Lightning,3,,,,
4/12/2003,New York Islanders,0,Ottawa Senators,3,,,,
4/12/2003,Minnesota Wild,2,Colorado Avalanche,3,,,,
4/13/2003,New Jersey Devils,3,Boston Bruins,0,,,,
4/13/2003,Dallas Stars,2,Edmonton Oilers,3,,,,
4/14/2003,Detroit Red Wings,1,Mighty Ducks of Anaheim,2,,,,
4/14/2003,Colorado Avalanche,3,Minnesota Wild,0,,,,
4/14/2003,Vancouver Canucks,1,St. Louis Blues,3,,,,
4/14/2003,Ottawa Senators,3,New York Islanders,2,2OT,,,
4/14/2003,Philadelphia Flyers,3,Toronto Maple Leafs,4,2OT,,,
4/15/2003,New Jersey Devils,1,Boston Bruins,5,,,,
4/15/2003,Dallas Stars,3,Edmonton Oilers,1,,,,
4/15/2003,Tampa Bay Lightning,4,Washington Capitals,3,OT,,,
4/16/2003,Colorado Avalanche,3,Minnesota Wild,1,,,,
4/16/2003,Ottawa Senators,3,New York Islanders,1,,,,
4/16/2003,Vancouver Canucks,1,St. Louis Blues,4,,,,
4/16/2003,Tampa Bay Lightning,3,Washington Capitals,1,,,,
4/16/2003,Detroit Red Wings,2,Mighty Ducks of Anaheim,3,OT,,,
4/16/2003,Philadelphia Flyers,3,Toronto Maple Leafs,2,3OT,,,
4/17/2003,Edmonton Oilers,2,Dallas Stars,5,,,,
4/17/2003,Boston Bruins,0,New Jersey Devils,3,,,,
4/17/2003,New York Islanders,1,Ottawa Senators,4,,,,
4/18/2003,Washington Capitals,1,Tampa Bay Lightning,2,,,,
4/18/2003,St. Louis Blues,3,Vancouver Canucks,5,,,,
4/19/2003,Minnesota Wild,3,Colorado Avalanche,2,,,,
4/19/2003,Dallas Stars,3,Edmonton Oilers,2,,,,
4/19/2003,Toronto Maple Leafs,1,Philadelphia Flyers,4,,,,
4/20/2003,Vancouver Canucks,4,St. Louis Blues,3,,,,
4/20/2003,Tampa Bay Lightning,2,Washington Capitals,1,3OT,,,
4/21/2003,Colorado Avalanche,2,Minnesota Wild,3,OT,,,
4/21/2003,Philadelphia Flyers,1,Toronto Maple Leafs,2,2OT,,,
4/22/2003,St. Louis Blues,1,Vancouver Canucks,4,,,,
4/22/2003,Toronto Maple Leafs,1,Philadelphia Flyers,6,,,,
4/22/2003,Minnesota Wild,3,Colorado Avalanche,2,OT,,,
4/24/2003,Tampa Bay Lightning,0,New Jersey Devils,3,,,,
4/24/2003,Mighty Ducks of Anaheim,4,Dallas Stars,3,5OT,,,
4/25/2003,Philadelphia Flyers,2,Ottawa Senators,4,,,,
4/25/2003,Minnesota Wild,3,Vancouver Canucks,4,OT,,,
4/26/2003,Mighty Ducks of Anaheim,3,Dallas Stars,2,OT,,,
4/26/2003,Tampa Bay Lightning,2,New Jersey Devils,3,OT,,,
4/27/2003,Philadelphia Flyers,2,Ottawa Senators,0,,,,
4/27/2003,Minnesota Wild,3,Vancouver Canucks,2,,,,
4/28/2003,Dallas Stars,2,Mighty Ducks of Anaheim,1,,,,
4/28/2003,New Jersey Devils,3,Tampa Bay Lightning,4,,,,
4/29/2003,Vancouver Canucks,3,Minnesota Wild,2,,,,
4/29/2003,Ottawa Senators,3,Philadelphia Flyers,2,OT,,,
4/30/2003,Dallas Stars,0,Mighty Ducks of Anaheim,1,,,,
4/30/2003,New Jersey Devils,3,Tampa Bay Lightning,1,,,,
5/1/2003,Ottawa Senators,0,Philadelphia Flyers,1,,,,
5/2/2003,Vancouver Canucks,3,Minnesota Wild,2,OT,,,
5/2/2003,Tampa Bay Lightning,1,New Jersey Devils,2,3OT,,,
5/3/2003,Mighty Ducks of Anaheim,1,Dallas Stars,4,,,,
5/3/2003,Philadelphia Flyers,2,Ottawa Senators,5,,,,
5/5/2003,Minnesota Wild,7,Vancouver Canucks,2,,,,
5/5/2003,Ottawa Senators,5,Philadelphia Flyers,1,,,,
5/5/2003,Dallas Stars,3,Mighty Ducks of Anaheim,4,,,,
5/7/2003,Vancouver Canucks,1,Minnesota Wild,5,,,,
5/8/2003,Minnesota Wild,4,Vancouver Canucks,2,,,,
5/10/2003,Mighty Ducks of Anaheim,1,Minnesota Wild,0,2OT,,,
5/10/2003,New Jersey Devils,2,Ottawa Senators,3,OT,,,
5/12/2003,Mighty Ducks of Anaheim,2,Minnesota Wild,0,,,,
5/13/2003,New Jersey Devils,4,Ottawa Senators,1,,,,
5/14/2003,Minnesota Wild,0,Mighty Ducks of Anaheim,4,,,,
5/15/2003,Ottawa Senators,0,New Jersey Devils,1,,,,
5/16/2003,Minnesota Wild,1,Mighty Ducks of Anaheim,2,,,,
5/17/2003,Ottawa Senators,2,New Jersey Devils,5,,,,
5/19/2003,New Jersey Devils,1,Ottawa Senators,3,,,,
5/21/2003,Ottawa Senators,2,New Jersey Devils,1,OT,,,
5/23/2003,New Jersey Devils,3,Ottawa Senators,2,,,,
5/27/2003,Mighty Ducks of Anaheim,0,New Jersey Devils,3,,,,
5/29/2003,Mighty Ducks of Anaheim,0,New Jersey Devils,3,,,,
5/31/2003,New Jersey Devils,2,Mighty Ducks of Anaheim,3,OT,,,
6/2/2003,New Jersey Devils,0,Mighty Ducks of Anaheim,1,OT,,,
6/5/2003,Mighty Ducks of Anaheim,3,New Jersey Devils,6,,,,
6/7/2003,New Jersey Devils,2,Mighty Ducks of Anaheim,5,,,,
6/9/2003,Mighty Ducks of Anaheim,0,New Jersey Devils,3,,,,
